AVL_security_pct_mean,AVL_security_pct_std,total_security_mean,total_security_std,avg_yield_mean,avg_yield_std,eth_yield_mean,eth_yield_std,avl_yield_mean,avl_yield_std,AVL_reward_pct,AVL_upper_security_pct
89.63456424995621,0.46244168878254294,79764402.38625304,2857466.057052432,28.53712994101106,1.6568801702582245,248.27485748194493,18.995278833674668,3.1838022086495146,0.1841238648087241,100.0,0.0
79.35713708650755,0.8159902535963932,80078962.53131114,2628353.481026383,28.422478726926148,1.669422443632609,124.13742874097247,9.497639416837334,3.581777484730705,0.20713934790981467,100.0,0.0
69.16501638386062,1.0631841889170992,80393522.67636926,2443283.9851235794,28.310203736069102,1.6939106689475254,82.75828582731496,6.3317596112248875,4.093459982549377,0.23673068332550232,100.0,0.0
59.05559242241794,1.2064165260401813,80708082.8214274,2312854.5348595353,28.200245155761255,1.7293409416476095,62.068714370486234,4.748819708418667,4.775703312974272,0.2761857972130863,100.0,0.0
49.026342976562276,1.2479420293470997,81022642.96648552,2246601.9726690343,28.092545725919372,1.7746099965407007,49.65497149638898,3.7990557667349334,5.730843975569128,0.3314229566557037,100.0,0.0
39.07482869462407,1.1898838365855808,81337203.11154363,2250202.12525488,27.987050613640037,1.8285849437696375,41.37914291365749,3.1658798056124446,7.16355496946141,0.41427869581962934,100.0,0.0
29.198688748827074,1.0342395857008164,81651763.25660177,2323330.2912250496,27.883707295959567,1.890160288501275,35.46783678313499,2.713611261953524,9.551406625948548,0.5523715944261727,100.0,0.0
19.395636734875023,0.7828870665502783,81966323.40165986,2459793.1897757757,27.782465450191157,1.9582984837666244,31.034357185243117,2.3744098542093335,14.32710993892282,0.8285573916392588,100.0,0.0
9.663456802523566,0.43758943206174467,82280883.546718,2649823.821979832,27.683276851293357,2.0320544049692475,27.586095275771655,2.110586537074963,28.65421987784564,1.6571147832785176,100.0,0.0
89.63456424995621,0.46244168878254294,79764402.38625304,2857466.057052432,28.53712994101106,1.6568801702582245,220.68876220617324,16.884692296599702,6.367604417299029,0.3682477296174482,100.0,0.0
79.35713708650755,0.8159902535963932,80078962.53131114,2628353.481026383,28.422478726926148,1.669422443632609,110.34438110308662,8.442346148299851,7.16355496946141,0.41427869581962934,100.0,0.0
69.16501638386062,1.0631841889170992,80393522.67636926,2443283.9851235794,28.310203736069102,1.6939106689475254,73.56292073539109,5.628230765533234,8.186919965098754,0.47346136665100463,100.0,0.0
59.05559242241794,1.2064165260401813,80708082.8214274,2312854.5348595353,28.200245155761255,1.7293409416476098,55.17219055154331,4.221173074149926,9.551406625948545,0.5523715944261726,100.0,0.0
49.026342976562276,1.2479420293470997,81022642.96648552,2246601.9726690343,28.092545725919372,1.7746099965407007,44.13775244123465,3.376938459319941,11.461687951138256,0.6628459133114074,100.0,0.0
39.07482869462407,1.1898838365855808,81337203.11154363,2250202.12525488,27.987050613640033,1.8285849437696373,36.781460367695544,2.814115382766618,14.32710993892282,0.8285573916392587,100.0,0.0
29.198688748827074,1.0342395857008164,81651763.25660177,2323330.2912250496,27.883707295959567,1.890160288501275,31.526966029453327,2.412098899514244,19.102813251897096,1.1047431888523453,100.0,0.0
19.395636734875023,0.7828870665502783,81966323.40165986,2459793.1897757757,27.782465450191157,1.9582984837666246,27.586095275771655,2.110586537074963,28.65421987784564,1.6571147832785176,100.0,0.0
9.663456802523566,0.43758943206174467,82280883.546718,2649823.821979832,27.683276851293353,2.0320544049692475,24.520973578463693,1.8760769218444115,57.30843975569128,3.314229566557035,100.0,0.0
89.63456424995621,0.46244168878254294,79764402.38625304,2857466.057052432,28.53712994101106,1.6568801702582245,193.1026669304016,14.774105759524742,9.551406625948545,0.5523715944261725,100.0,0.0
79.35713708650755,0.8159902535963932,80078962.53131114,2628353.481026383,28.422478726926148,1.669422443632609,96.5513334652008,7.387052879762371,10.745332454192116,0.6214180437294439,100.0,0.0
69.16501638386062,1.0631841889170992,80393522.67636926,2443283.9851235794,28.310203736069102,1.6939106689475254,64.36755564346718,4.92470191984158,12.280379947648134,0.7101920499765076,100.0,0.0
59.05559242241794,1.2064165260401813,80708082.8214274,2312854.5348595353,28.200245155761255,1.7293409416476098,48.2756667326004,3.6935264398811856,14.32710993892282,0.8285573916392586,100.0,0.0
49.026342976562276,1.2479420293470997,81022642.96648552,2246601.9726690343,28.092545725919372,1.774609996540701,38.62053338608033,2.9548211519049485,17.192531926707385,0.9942688699671104,100.0,0.0
39.07482869462407,1.1898838365855808,81337203.11154363,2250202.12525488,27.987050613640033,1.8285849437696375,32.1837778217336,2.4623509599207902,21.490664908384232,1.2428360874588877,100.0,0.0
29.198688748827074,1.0342395857008164,81651763.25660177,2323330.2912250496,27.883707295959567,1.8901602885012752,27.586095275771655,2.1105865370749632,28.65421987784564,1.6571147832785176,100.0,0.0
19.395636734875023,0.7828870665502783,81966323.40165986,2459793.1897757757,27.782465450191157,1.9582984837666249,24.1378333663002,1.8467632199405928,42.981329816768465,2.485672174917776,100.0,0.0
9.663456802523566,0.43758943206174467,82280883.546718,2649823.821979832,27.683276851293357,2.0320544049692475,21.45585188115573,1.6415673066138603,85.96265963353693,4.971344349835552,100.0,0.0
89.63456424995621,0.46244168878254294,79764402.38625304,2857466.057052432,28.53712994101106,1.6568801702582245,165.51657165462996,12.66351922244978,12.735208834598058,0.7364954592348965,100.0,0.0
79.35713708650755,0.8159902535963932,80078962.53131114,2628353.481026383,28.422478726926148,1.669422443632609,82.75828582731498,6.33175961122489,14.32710993892282,0.8285573916392587,100.0,0.0
