snapped_at,price,market_cap,total_volume
2023-05-08 00:00:00 UTC,17.682803657826454,0.0,104731379.15404001
2023-05-09 00:00:00 UTC,17.682803657826454,0.0,104731379.15404001
2023-05-10 00:00:00 UTC,19.442487699622916,0.0,58817188.93667992
2023-05-11 00:00:00 UTC,17.911897844195693,0.0,35290140.44474968
2023-05-12 00:00:00 UTC,12.525639315324526,266021393.2163993,67339556.28880513
2023-05-13 00:00:00 UTC,12.46766769719645,264064048.39741898,90240444.86852278
2023-05-14 00:00:00 UTC,11.010871865481963,234594671.96596852,53701650.3350009
2023-05-15 00:00:00 UTC,14.8223137885589,309282793.97380346,49710007.345382415
2023-05-16 00:00:00 UTC,16.46845793845861,348199777.7872904,55285905.84428998
2023-05-17 00:00:00 UTC,16.308168568997946,342677685.56547076,41637025.76264774
2023-05-18 00:00:00 UTC,14.89831972039333,310874628.8820675,46478151.53502532
2023-05-19 00:00:00 UTC,13.847419059693099,292237376.1780001,25059208.2734689
2023-05-20 00:00:00 UTC,12.300151495901924,258364367.88309357,32567528.541064538
2023-05-21 00:00:00 UTC,12.580024652059842,265787781.3665237,94780667.87652333
2023-05-22 00:00:00 UTC,10.709815439817783,225747246.17978758,48250590.1850842
2023-05-23 00:00:00 UTC,9.860655575980743,206761055.79106462,61096175.80028159
2023-05-24 00:00:00 UTC,9.505008931349797,199493901.12380224,38582357.679656394
2023-05-25 00:00:00 UTC,7.56610581073248,160151790.8814209,63641086.535853975
2023-05-26 00:00:00 UTC,7.966472041177711,167355076.58064258,56044259.96569425
2023-05-27 00:00:00 UTC,7.9675321964781896,167707215.77807188,34183804.38728464
2023-05-28 00:00:00 UTC,7.9045426864839845,165857232.2674322,27794409.000878926
2023-05-29 00:00:00 UTC,10.050739556896238,211500893.22169963,52425892.42075629
2023-05-30 00:00:00 UTC,9.365135290492045,197056534.93782145,36063670.03478485
2023-05-31 00:00:00 UTC,9.462425345531594,199094804.1440148,29297345.14434824
2023-06-01 00:00:00 UTC,8.438459792045018,177144696.43299067,50794219.20786136
2023-06-02 00:00:00 UTC,8.653588022109345,181547276.98548254,38958754.99178776
2023-06-03 00:00:00 UTC,8.524617421294598,180026610.26100755,25122837.000946116
2023-06-04 00:00:00 UTC,8.869510659501408,186568714.0252942,22011832.78535188
2023-06-05 00:00:00 UTC,9.014667994969207,188844562.65196392,20479609.452638455
2023-06-06 00:00:00 UTC,7.621728592103728,160254349.0588737,38580552.78513791
2023-06-07 00:00:00 UTC,8.163513472878094,172305279.92933068,30678072.772776216
2023-06-08 00:00:00 UTC,7.4671857765237215,157044686.07420468,20794079.70865391
2023-06-09 00:00:00 UTC,7.221575878908878,151718882.3845664,14386270.063296154
2023-06-10 00:00:00 UTC,7.036242482673546,147485011.73745725,18869120.28504862
2023-06-11 00:00:00 UTC,5.407771220546384,113471410.69846171,47467174.65486801
2023-06-12 00:00:00 UTC,5.128276562156123,107358281.6133175,11590912.070866968
2023-06-13 00:00:00 UTC,5.131694666759826,107556460.9311682,20864495.47378709
2023-06-14 00:00:00 UTC,5.313485733999033,111237845.7710218,18239424.407558195
2023-06-15 00:00:00 UTC,5.954964345127561,126069444.439549,30766670.69174461
2023-06-16 00:00:00 UTC,5.860690834386306,122157184.45011713,26105899.73844274
2023-06-17 00:00:00 UTC,6.4326019685199265,135770654.77558407,25158258.484210614
2023-06-18 00:00:00 UTC,6.158599879274302,129256743.27933624,14064418.247507717
2023-06-19 00:00:00 UTC,5.928604742298144,124225593.6767761,10295929.281667447
2023-06-20 00:00:00 UTC,6.010371113106388,126138927.27200085,12025203.160699701
2023-06-21 00:00:00 UTC,6.286892324053783,132110366.897803,15097976.821265059
2023-06-22 00:00:00 UTC,7.809417527557066,164816132.76864776,39636376.3139281
2023-06-23 00:00:00 UTC,7.383583842457375,155281562.35214165,29937633.960701406
2023-06-24 00:00:00 UTC,7.7921365901260575,163021213.85868335,24025903.508177914
2023-06-25 00:00:00 UTC,7.816781061877908,163162755.94551525,30109365.733852327
2023-06-26 00:00:00 UTC,8.098429234383985,170126345.89525986,20150917.745185718
2023-06-27 00:00:00 UTC,7.318569590726069,152856391.83904308,21630981.369372208
2023-06-28 00:00:00 UTC,7.361500356426635,153979489.86435217,15503834.754512193
2023-06-29 00:00:00 UTC,6.369799159057558,134047352.3371277,18711664.75581226
2023-06-30 00:00:00 UTC,6.657516858464522,139824001.0723479,11942588.5408523
2023-07-01 00:00:00 UTC,6.663109436274804,139935745.38658568,26734022.971289366
2023-07-02 00:00:00 UTC,6.491902078593571,136028530.06894997,14445661.67996975
2023-07-03 00:00:00 UTC,7.131889374185522,149639230.23693275,21158552.232080366
2023-07-04 00:00:00 UTC,7.160628694211991,150278605.02632958,15752672.852845037
2023-07-05 00:00:00 UTC,6.9075209815233505,145333798.38204625,15831145.42619873
2023-07-06 00:00:00 UTC,6.6529360963483,140055923.94013947,12748943.593395289
2023-07-07 00:00:00 UTC,6.150679874337102,129250119.2923337,16674867.319732359
2023-07-08 00:00:00 UTC,7.403982907432741,155402207.8544697,27707692.53291173
2023-07-09 00:00:00 UTC,6.787769081505196,142513247.68656188,17021527.02922035
2023-07-10 00:00:00 UTC,6.909317673308206,144745636.21293518,10302982.986166365
2023-07-11 00:00:00 UTC,6.945686150077343,145747600.63783672,12510179.865474913
2023-07-12 00:00:00 UTC,7.906366241363684,166025633.97580203,23485033.713045917
2023-07-13 00:00:00 UTC,7.3736743133962,154502838.19516435,17685387.914026175
2023-07-14 00:00:00 UTC,7.595122248979252,158465446.96173096,20877402.049532104
