snapped_at,price,market_cap,total_volume
2024-10-27 00:00:00 UTC,0.05280269925240241,57146094.69181024,43204641.75646371
2024-10-28 00:00:00 UTC,0.05280269925240241,57146094.69181024,43204641.75646371
2024-10-29 00:00:00 UTC,0.023907841041901697,26010301.903164975,15888439.714485826
2024-10-30 00:00:00 UTC,0.0199110939797039,22497668.01444979,9997871.282942746
2024-10-31 00:00:00 UTC,0.02461409402231901,27075847.43203617,5705507.766924795
2024-11-01 00:00:00 UTC,0.023489438838592804,25907077.64339088,4676976.080228382
2024-11-02 00:00:00 UTC,0.023167104233466792,25479346.661547936,3548862.8906329945
2024-11-03 00:00:00 UTC,0.015016089889698271,16433071.063885923,3876266.804315598
2024-11-04 00:00:00 UTC,0.018956043099443584,20702160.82743846,5473078.893675511
2024-11-05 00:00:00 UTC,0.025277367054624786,27786352.637418546,5962898.608637393
2024-11-06 00:00:00 UTC,0.020245836664005586,22267047.512646757,3038453.757299069
2024-11-07 00:00:00 UTC,0.025971830195549144,28579406.557209145,5746243.424805299
2024-11-08 00:00:00 UTC,0.03547668527730473,39218523.28055465,6419749.978794213
2024-11-09 00:00:00 UTC,0.026951213195950733,29624606.399805557,4164696.299679725
2024-11-10 00:00:00 UTC,0.024212528491907123,26654071.046256565,3035304.645749007
2024-11-11 00:00:00 UTC,0.024881912361421128,27356728.695674416,5422310.595461334
2024-11-12 00:00:00 UTC,0.06079655594227154,66897363.101641186,20694375.676079
2024-11-13 00:00:00 UTC,0.08088876143983086,88145614.23431136,21189186.051884998
2024-11-14 00:00:00 UTC,0.1292749396584586,142810663.2778374,23084453.765752874
2024-11-15 00:00:00 UTC,0.18955046831825087,208505456.23609018,32824888.13709708
2024-11-16 00:00:00 UTC,0.28367806399450285,312045782.1106134,31776762.28350734
2024-11-17 00:00:00 UTC,0.35730526670980717,401967767.2822644,42139223.43591249
2024-11-18 00:00:00 UTC,0.3410174329148159,366215264.1377266,8321654.094722298
2024-11-19 00:00:00 UTC,0.4751805690843914,521910359.90971065,79658266.46064475
2024-11-20 00:00:00 UTC,0.3021531726324187,347565245.38057846,204541878.33087927
2024-11-21 00:00:00 UTC,0.1721646556095761,192270477.96234417,79509061.52501152
2024-11-22 00:00:00 UTC,0.23800807897571163,261542829.80504686,49659847.83510828
2024-11-23 00:00:00 UTC,0.2094879789304895,230435040.77981564,28198703.50394497
2024-11-24 00:00:00 UTC,0.2458471879410061,270357691.10046315,25975070.536910992
2024-11-25 00:00:00 UTC,0.16445022328203449,180637129.02559033,66108414.173801266
2024-11-26 00:00:00 UTC,0.15801777517894164,172314267.57825434,19947907.44926938
2024-11-27 00:00:00 UTC,0.2235807381998399,242770819.30065447,16903213.28386088
2024-11-28 00:00:00 UTC,0.20200702939495493,222249041.71459994,13673958.436324036
2024-11-29 00:00:00 UTC,0.23072888904544972,252532929.1551552,14392626.167543354
2024-11-30 00:00:00 UTC,0.31628203104034963,347543765.76854473,34822426.5702758
2024-12-01 00:00:00 UTC,0.2597724576381872,285562710.53843313,15899522.465374345
2024-12-02 00:00:00 UTC,0.36012893024050424,408683375.98015136,27838958.95635761
2024-12-03 00:00:00 UTC,0.3323036835551928,365533846.0299479,28116592.89730906
2024-12-04 00:00:00 UTC,0.36775692842714486,404570412.25705975,17248851.278088335
2024-12-05 00:00:00 UTC,0.3520546734795684,384477858.0044113,13539663.160780739
2024-12-06 00:00:00 UTC,0.4448799848400334,486940315.3736865,26265538.498913612
2024-12-07 00:00:00 UTC,0.581307275852353,638078096.4959863,34430984.17256818
2024-12-08 00:00:00 UTC,0.5692853539454369,626273409.4934977,37992444.73600986
2024-12-09 00:00:00 UTC,0.5377281099047275,589487965.7448345,22890493.718066268
2024-12-10 00:00:00 UTC,0.4834789871524051,533577407.0020624,27602736.199090924
2024-12-11 00:00:00 UTC,0.5758561202799662,637240490.5373001,32927223.41148448
2024-12-12 00:00:00 UTC,0.7680510116219386,844855544.0597892,65850869.5803629
2024-12-13 00:00:00 UTC,0.805921866502094,890009498.01859,56105327.155868575
2024-12-14 00:00:00 UTC,0.8129941889457512,892639611.1335658,36513563.75694524
2024-12-15 00:00:00 UTC,0.7721368669542209,845101520.8798689,34639627.53198039
2024-12-16 00:00:00 UTC,0.8301523953270628,913052927.116969,21071059.14531724
2024-12-17 00:00:00 UTC,0.7288224271495701,802123295.8926096,35755181.78860543
2024-12-18 00:00:00 UTC,0.6829730704090552,748723272.6586994,35097456.750815265
2024-12-19 00:00:00 UTC,0.6897477182329127,758078450.2615254,67285646.29966775
2024-12-20 00:00:00 UTC,0.6625579416377381,730284067.5734259,55378632.33814721
